Maria Gomes,56250662953,75,405840861
Carolina Araújo,41374539576,23,698034413
Tatiane Teixeira,16705274229,20,308220199
Ana Pires,27439027194,85,285323620
Tatiane Fernandes,87463364851,52,191778588
Bruno Freitas,22361060563,85,086899144
Diego Nascimento,78341246805,81,239654598
Tatiane Freitas,75004989971,46,003429340
Ana Carvalho,56880592437,30,478443984
Beatriz Pires,74045922722,62,834823365
Patrícia Melo,25646590400,79,512071854
Isabela Cardoso,56805743317,37,118502371
Rafael Batista,15932331816,63,808045498
Marcos Monteiro,36170929389,18,675811895
Patrícia Vieira,38044876699,76,937355677
Letícia Cavalcante,74742388904,51,951342696
Carolina Vieira,62597317702,88,612730790
Isabela Cavalcante,96737689430,46,710985503
Rafael Reis,06504059422,65,571881056
Maria Correia,08978353718,70,548703329
Gustavo Freitas,06720390972,36,728916876
Paulo Costa,53849250834,85,104912353
Rafael Moura,19381436996,61,250329756
Rodrigo Pereira,51802831750,36,006870041
Diego Vieira,13608156872,62,542414718
Natália Moreira,62178736596,53,280636415
Tatiane Silva,53482353416,52,993849402
Aline Almeida,48804010200,43,844310148
Bruno Fernandes,12725748306,52,035914031
André Rodrigues,08410313599,31,930681583
Rafael Oliveira,78964052830,20,434964631
Rafael Vieira,96180560841,71,061898312
João Ribeiro,45629706036,29,492671639
Patrícia Barbosa,98924806430,90,127389772
João Melo,43186642356,90,098460296
Paulo Campos,24557168192,86,575039883
Natália Rocha,33993901264,79,266886923
André Moreira,03771552778,52,356783081
Ana Cardoso,53303983079,42,287277001
Eduardo Costa,50932926503,50,380305922
Natália Cardoso,69822088347,23,368475954
Beatriz Vieira,65901367639,42,356300466
Carlos Batista,73090560307,80,300572039
Bruno Gomes,88094433803,63,629465910
Gustavo Monteiro,30270288978,28,371924267
Isabela Martins,29162153612,30,555715121
Rodrigo Rodrigues,81193310292,76,509863277
Paulo Monteiro,95251711829,62,436596739
Letícia Cardoso,11725680314,30,465549289
Fernanda Melo,10998499163,18,812768228
Marcos Moreira,86556230388,59,652915596
Larissa Teixeira,62955969569,54,547109000
Maria Lima,01086430555,48,247354576
Marcos Martins,56409372282,41,431982812
Isabela Souza,16618694992,75,174881398
Aline Teixeira,90918768797,45,601409055
Fernanda Silva,16590566735,23,053174347
Lucas Reis,74773187581,64,575111116
Carolina Ribeiro,75552940076,72,025345790
Eduardo Gomes,79912616753,59,910979152
Aline Reis,34199456074,28,670221454
Lucas Oliveira,62124715932,22,184740009
Carlos Carvalho,43178430374,59,379090930
Renata Ribeiro,39231260333,90,178172952
Camila Araújo,66058712989,22,051926603
Isabela Melo,65956466403,79,559855968
Letícia Nascimento,61622049838,78,174560081
Marcos Silva,85341969726,83,313273487
Ana Fernandes,99934405359,51,330133473
Fernanda Pereira,85366382564,78,531840581
Lucas Nascimento,89293517629,90,825803246
Fernanda Correia,30743821536,28,534024635
Eduardo Cardoso,35491135793,76,158005552
Fernanda Batista,14645439329,62,178358338
Camila Gomes,37269789676,62,121799201
Amanda Melo,67195333923,27,695365173
João Nascimento,95052769666,50,551686389
Ricardo Campos,79286908145,62,239097781
Patrícia Cardoso,45762900251,87,641637098
André Carvalho,82933074585,78,938921744
Carlos Araújo,83467451585,25,007349657
Tatiane Campos,74986872859,21,787587569
Marcos Batista,18897075162,31,124002267
Rodrigo Rocha,12639595150,75,586417091
Larissa Martins,60174035933,37,747566819
Tatiane Gomes,50421968162,60,816260513
Gabriel Cardoso,78886499561,76,145132098
Isabela Barbosa,57777242904,24,206986568
João Costa,39601634061,45,676137772
Isabela Vieira,25811209070,43,412779714
Fernanda Vieira,98526078592,79,278404285
Beatriz Freitas,71547908902,74,931683903
Isabela Batista,04066766266,24,847847041
Larissa Fernandes,62699179308,36,748286628
Bruno Dias,45181030574,83,031179040
Ana Vieira,78676566075,24,434795365
Ana Moreira,27144658779,39,082806102
Patrícia Souza,99546060795,33,312666467
Bruno Batista,95500933209,53,138840078
Renata Souza,97681712622,21,933486400
Carolina Moura,30999266776,87,409501988
Marcos Cardoso,44062354749,25,298878066
Isabela Teixeira,12885537918,42,955946411
Renata Dias,40341346904,49,813336344
Lucas Vieira,23621129829,62,496502689
Tatiane Melo,81027380006,78,604881014
Bruno Monteiro,54301332143,56,096146369
Rafael Melo,17795953930,41,545668356
Juliana Silva,09959468919,30,560593824
Rafael Almeida,97084846007,74,929933139
Larissa Souza,14672210244,69,172043264
Renata Silva,38278539994,30,723417230
Gustavo Martins,91210980531,51,602656450
Larissa Nascimento,94346361123,64,141703302
Juliana Pires,51775893254,66,567772800
Juliana Carvalho,80872301912,45,603137143
Felipe Rocha,57744916801,36,549806241
Beatriz Campos,91531170614,90,719368411
Ricardo Oliveira,79108140514,39,495876448
Carlos Fernandes,93117058894,51,846323078
Larissa Freitas,68887827025,87,985961191
Larissa Ribeiro,47186287750,53,423095909
Natália Campos,38502039762,84,122768757
Diego Costa,71156520866,69,910226517
Juliana Oliveira,72700086039,38,547133625
Patrícia Martins,18893921609,56,823584979
Bruno Teixeira,04812605668,60,780911453
Carolina Silva,61412616048,76,554443721
Ricardo Reis,99898664752,73,236379121
Rafael Cavalcante,17407852322,39,408792373
João Batista,77153356921,86,458183211
Ricardo Dias,15596291230,31,611610569
Rodrigo Araújo,53738170202,84,265357667
Bruno Campos,14263937704,37,885984569
Bruno Cavalcante,09944736790,27,193747830
Juliana Ribeiro,21172147490,86,732997308
Renata Costa,35567640123,20,355614369
Gustavo Melo,26665130123,73,698531032
Carolina Souza,45586488844,59,240689833
João Dias,23946501261,42,041521863
Juliana Martins,78209281380,66,037738694
Sérgio Monteiro,41048034729,85,021206885
Ricardo Martins,31136138437,82,685979373
Felipe Lima,66610072241,90,330586093
Isabela Gomes,91861212050,20,512208606
Beatriz Melo,47483557708,62,413044160
Marcos Rocha,71773918721,87,848892601
Larissa Pires,47111333533,62,765768568
Carolina Carvalho,83701682099,63,294638941
Aline Moura,28859021664,79,074701745
Natália Araújo,79931360027,61,447621843
Eduardo Silva,65334551194,31,912766670
Beatriz Gomes,32226900174,34,635252524
Carlos Reis,72471304287,85,447141640
Carolina Barbosa,24941117867,28,749688136
Paulo Melo,21680537089,90,741789432
Lucas Melo,25004472008,43,297395604
Diego Monteiro,59727971337,23,170187352
Tatiane Batista,68441324074,48,386769544
João Carvalho,08670222247,60,890638153
Tatiane Ribeiro,49499934111,70,460831826
João Barbosa,32099021558,29,950676028
Ana Campos,33544403115,71,146302147
Carolina Monteiro,87580486198,22,256768403
Maria Monteiro,65546939163,45,316348486
Marcos Gomes,32606830358,84,040245670
Bruno Costa,90951267563,61,764448088
Letícia Rodrigues,11537333927,57,327035241
André Melo,86023702988,74,013294729
André Souza,75013093274,57,016376324
Paulo Carvalho,15248958760,45,285981360
Patrícia Monteiro,23545963310,54,732133469
Maria Rocha,09912760020,56,684203577
Gabriel Monteiro,87979998407,55,888409548
Paulo Oliveira,63270404681,83,667311018
Carolina Rocha,58574310002,59,096159536
Eduardo Lima,96983462183,88,615397061
Letícia Souza,74873908861,47,033427097
Gustavo Dias,31006130011,41,685502758
Camila Barbosa,82443159314,68,080381827
Rafael Teixeira,26651695684,42,824680392
Aline Fernandes,27873507435,39,522050336
Bruno Pereira,64574550122,42,020136856
Camila Batista,72815721006,70,178951774
Rafael Moreira,12427733481,27,390908680
Amanda Reis,69636044705,44,607546728
André Batista,08079133282,32,674150483
Gabriel Fernandes,58769425458,76,691574793
Sérgio Vieira,84477105489,21,349817288
Sérgio Gomes,54834385883,45,939610670
Diego Araújo,17666926892,82,837684410
Maria Silva,64601362947,21,663627660
Gabriel Almeida,13519898620,79,623514273
Natália Fernandes,77090332884,74,637853366
Isabela Dias,17918358631,75,364288907
Fernanda Dias,89800759777,44,045810281
Juliana Pereira,81756057094,34,308021778
Beatriz Martins,92849985963,59,543739175
Amanda Vieira,34971481437,80,639238543
João Teixeira,05082677674,44,956862408
Patrícia Araújo,79985674621,33,700881542
Larissa Melo,88223937443,63,695288426
André Freitas,21193403145,44,249865526
Paulo Araújo,61095645619,63,983106963
Juliana Correia,35020294922,83,831149037
Natália Moura,89823175918,61,086074462
Lucas Gomes,70584713395,26,648443812
Patrícia Rodrigues,22027211886,80,256519045
Tatiane Cavalcante,40294570052,42,448501014
Natália Martins,61027424211,85,058590296
Rafael Freitas,49802522526,20,040269057
Diego Moura,24619241033,68,730612209
Amanda Moura,35978862825,49,996213818
Camila Rodrigues,64134111613,50,313354084
Ricardo Moreira,37849101653,40,508946944
Carolina Cardoso,25807619897,23,123030385
Larissa Oliveira,10265762876,76,909926441
Carolina Reis,83706568150,77,328190451
Larissa Araújo,26187507452,28,631932526
Felipe Melo,19898191221,36,834942015
Maria Reis,41650865804,61,298953456
Amanda Teixeira,19200155583,27,644027610
Marcos Nascimento,37686359410,48,066446688
Ana Ribeiro,10374599184,62,988635542
Renata Moura,90587737296,71,732951093
Diego Gomes,27621912521,69,437302999
Aline Lima,19302498379,65,038592832
Felipe Gomes,13616932314,20,657995752
Letícia Gomes,24306410679,56,761549197
Eduardo Oliveira,21476883734,85,110153802
Amanda Fernandes,50969666899,31,397809030
Larissa Moreira,10753965004,35,337136699
Diego Pereira,69425845087,77,666884283
Diego Cavalcante,78390936657,27,194181782
João Araújo,21949723201,38,068826730
Tatiane Moura,44891167073,48,638145123
André Dias,39252296808,88,121418802
Tatiane Dias,05259949902,75,578878979
Patrícia Freitas,44863438712,83,200889172
Marcos Freitas,74570231936,29,371941148
Amanda Almeida,22182246465,76,155600711
Camila Carvalho,29466243290,28,240693582
Ana Monteiro,37530845423,39,196183521
Beatriz Ribeiro,35402694531,72,183244637
Patrícia Costa,43006439830,75,509693971
Carolina Oliveira,61331229751,71,043141062
Carlos Dias,69666587758,37,685796059
Gabriel Rodrigues,15481052143,33,528308482
Larissa Almeida,41689494808,33,882622722
Gustavo Moreira,51315913354,39,058956996
Bruno Carvalho,78718384895,67,627635341
Bruno Ribeiro,48940741351,64,525752779
Ricardo Lima,78528085801,58,698563133
Sérgio Lima,84937398438,40,473259402
Fernanda Lima,50379442091,48,186748064
Felipe Almeida,79561541983,43,208556739
Diego Carvalho,18919481786,84,743770987
Aline Martins,11117779980,44,661298369
Rodrigo Silva,28245749675,88,597407836
Natália Almeida,29294694704,65,154684565
Isabela Reis,94664514019,61,109875483
Eduardo Barbosa,81692697319,24,762959881
Marcos Melo,85014949180,65,563519621
Renata Fernandes,48071605663,21,360234121
Camila Silva,23382744346,65,469925297
Marcos Souza,29344120758,87,896522476
Tatiane Rocha,70001090435,53,562562193
Ana Moura,24001504060,75,613114639
Maria Pereira,82960068203,26,732489441
Fernanda Teixeira,42552572303,78,952537166
Isabela Correia,76431277447,34,319365655
Felipe Araújo,26500585359,90,612695929
